FID,OBJECTID,SHAPE,BAUM_ID,DATENFUEHRUNG,BEZIRK,OBJEKT_STRASSE,GEBIETSGRUPPE,GATTUNG_ART,PFLANZJAHR,PFLANZJAHR_TXT,STAMMUMFANG,STAMMUMFANG_TXT,BAUMHOEHE,BAUMHOEHE_TXT,KRONENDURCHMESSER,KRONENDURCHMESSER_TXT,BAUMNUMMER,SE_ANNO_CAD_DATA
BAUMKATOGD.576868130,576868130,POINT (16.42167996037569 48.18581927846211),194440,magistrat,11,Guglgasse,"MA 28 - Straße, Grünanlage",Prunus avium (Vogelkirsche),2000,2000,105,105 cm,2,6-10 m,2,4-6 m,1010,
BAUMKATOGD.576868131,576868131,POINT (16.246292099770006 48.137932017508156),269099,magistrat,23,"23., Parkanlage Kalksburg, MA42",MA 42 - Parkanlage,Prunus avium (Vogelkirsche),0,nicht definiert,98,98 cm,3,11-15 m,2,4-6 m,29,
BAUMKATOGD.576868132,576868132,POINT (16.361692202437577 48.22696411302289),14816,magistrat,9,Nordbergstraße,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1984,1984,110,110 cm,2,6-10 m,3,7-9 m,1004,
BAUMKATOGD.576868133,576868133,POINT (16.45270665274889 48.19288309133577),54983,magistrat,2,"RDD, Pagode",MA 45 - Rechter Donaudamm,Populus nigra (Schwarzpappel),0,nicht definiert,308,308 cm,3,11-15 m,3,7-9 m,143,
BAUMKATOGD.576868134,576868134,POINT (16.452698644247995 48.19267310716623),54989,magistrat,2,"RDD, Pagode",MA 45 - Rechter Donaudamm,Populus nigra (Schwarzpappel),0,nicht definiert,595,595 cm,5,21-25 m,6,16-18 m,N146,
BAUMKATOGD.576868135,576868135,POINT (16.48381118976482 48.282371087972535),140924,magistrat,22,Baschgasse,"MA 28 - Straße, Grünanlage",Tilia tomentosa (Silberlinde),1975,1975,103,103 cm,3,11-15 m,3,7-9 m,203,
BAUMKATOGD.576868136,576868136,POINT (16.24654538333275 48.13800137393575),269155,magistrat,23,"23., Parkanlage Kalksburg, MA42",MA 42 - Parkanlage,Acer campestre (Feldahorn),0,nicht definiert,64,64 cm,3,11-15 m,2,4-6 m,35/A,
BAUMKATOGD.576868137,576868137,POINT (16.30802734917926 48.15118918117162),271500,magistrat,23,"23., Parkanlage Mühlbreiten, MA42",MA 42 - Parkanlage,Ailanthus altissima (Götterbaum),0,nicht definiert,98,98 cm,2,6-10 m,2,4-6 m,38,
BAUMKATOGD.576868138,576868138,POINT (16.416923264625755 48.2230742830243),165701,magistrat,22,"DI, Reichsbrücke - Kaisermühlenbr.",MA 45 - Donauinsel,Tilia spec. (Linde),0,nicht definiert,81,81 cm,2,6-10 m,2,4-6 m,327,
BAUMKATOGD.576868139,576868139,POINT (16.36157082882754 48.22729571886717),14818,magistrat,9,Nordbergstraße,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1972,1972,125,125 cm,3,11-15 m,5,13-15 m,1006,
